X,Y,OBJECTID,MetroLine,Station,StopNumber,TOOLTIP,NLA_URL
-118.383113000363,33.9052989998203,50,Green Line,Douglas Station,80302,Stop: Douglas Station\nStop No: 80302\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.386538999482,33.9160629998969,51,Green Line,El Segundo Station,80303,Stop: El Segundo Station\nStop No: 80303\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.38757200041,33.9231999996105,52,Green Line,Mariposa Station,80304,Stop: Mariposa Station\nStop No: 80304\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.377133999513,33.9296209996719,53,Green Line,Aviation / LAX Station,80305,Stop: Aviation / LAX Station\nStop No: 80305\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.351601999676,33.9334079997721,54,Green Line,Hawthorne / Lennox Station,80306,Stop: Hawthorne / Lennox Station\nStop No: 80306\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.326549999575,33.9252009995626,55,Green Line,Crenshaw Station,80307,Stop: Crenshaw Station\nStop No: 80307\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.291732999956,33.9286830002104,56,Green Line,Vermont / Athens Station,80308,Stop: Vermont / Athens Station\nStop No: 80308\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.281100000262,33.9287140002604,57,Green Line,Harbor Freeway Station,80309,Stop: Harbor Freeway Station\nStop No: 80309\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.265216999472,33.9274649997856,58,Green Line,Avalon Station,80310,Stop: Avalon Station\nStop No: 80310\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.238051999815,33.9282580003102,59,Green Line,Willowbrook - Rosa Parks Station - Metro Green Line,80311,Stop: Willowbrook - Rosa Parks Station - Metro Green Line\nStop No: 80311\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.209945000255,33.9248799995896,60,Green Line,Long Beach Blvd Station,80312,Stop: Long Beach Blvd Station\nStop No: 80312\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
